ap_precinct,ap_canidx,ap_full_can_nam,ap_last_nam_init,ap_maj_ptycod_align,votes,state_precinct_name,state_districtid,vote_method
1,1,Mark Begich,Begich,D,399,01-446 Aurora,1,Election Day
1,2,Mike Dunleavy,Dunleavy,R,427,01-446 Aurora,1,Election Day
1,4,Billy Toien,Toien,LB,29,01-446 Aurora,1,Election Day
1,3,Bill Walker,Walker,UL,11,01-446 Aurora,1,Election Day
2,1,Mark Begich,Begich,D,65,01-455 Fairbanks No. 1,1,Election Day
2,2,Mike Dunleavy,Dunleavy,R,84,01-455 Fairbanks No. 1,1,Election Day
2,4,Billy Toien,Toien,LB,3,01-455 Fairbanks No. 1,1,Election Day
2,3,Bill Walker,Walker,UL,3,01-455 Fairbanks No. 1,1,Election Day
3,1,Mark Begich,Begich,D,124,01-465 Fairbanks No. 2,1,Election Day
3,2,Mike Dunleavy,Dunleavy,R,139,01-465 Fairbanks No. 2,1,Election Day
3,4,Billy Toien,Toien,LB,13,01-465 Fairbanks No. 2,1,Election Day
3,3,Bill Walker,Walker,UL,4,01-465 Fairbanks No. 2,1,Election Day
4,1,Mark Begich,Begich,D,253,01-470 Fairbanks No. 3,1,Election Day
4,2,Mike Dunleavy,Dunleavy,R,203,01-470 Fairbanks No. 3,1,Election Day
4,4,Billy Toien,Toien,LB,16,01-470 Fairbanks No. 3,1,Election Day
4,3,Bill Walker,Walker,UL,9,01-470 Fairbanks No. 3,1,Election Day
5,1,Mark Begich,Begich,D,121,01-475 Fairbanks No. 4,1,Election Day
5,2,Mike Dunleavy,Dunleavy,R,110,01-475 Fairbanks No. 4,1,Election Day
5,4,Billy Toien,Toien,LB,9,01-475 Fairbanks No. 4,1,Election Day
5,3,Bill Walker,Walker,UL,5,01-475 Fairbanks No. 4,1,Election Day
6,1,Mark Begich,Begich,D,321,01-480 Fairbanks No. 5,1,Election Day
6,2,Mike Dunleavy,Dunleavy,R,336,01-480 Fairbanks No. 5,1,Election Day
6,4,Billy Toien,Toien,LB,14,01-480 Fairbanks No. 5,1,Election Day
6,3,Bill Walker,Walker,UL,7,01-480 Fairbanks No. 5,1,Election Day
7,1,Mark Begich,Begich,D,177,01-485 Fairbanks No. 6,1,Election Day
7,2,Mike Dunleavy,Dunleavy,R,173,01-485 Fairbanks No. 6,1,Election Day
7,4,Billy Toien,Toien,LB,9,01-485 Fairbanks No. 6,1,Election Day
7,3,Bill Walker,Walker,UL,4,01-485 Fairbanks No. 6,1,Election Day
8,1,Mark Begich,Begich,D,207,01-490 Fairbanks No. 7,1,Election Day
8,2,Mike Dunleavy,Dunleavy,R,190,01-490 Fairbanks No. 7,1,Election Day
8,4,Billy Toien,Toien,LB,19,01-490 Fairbanks No. 7,1,Election Day
8,3,Bill Walker,Walker,UL,10,01-490 Fairbanks No. 7,1,Election Day
9,1,Mark Begich,Begich,D,84,01-495 Fairbanks No. 10,1,Election Day
9,2,Mike Dunleavy,Dunleavy,R,107,01-495 Fairbanks No. 10,1,Election Day
9,4,Billy Toien,Toien,LB,3,01-495 Fairbanks No. 10,1,Election Day
9,3,Bill Walker,Walker,UL,3,01-495 Fairbanks No. 10,1,Election Day
10,1,Mark Begich,Begich,D,249,02-345 Badger No. 2,2,Election Day
10,2,Mike Dunleavy,Dunleavy,R,679,02-345 Badger No. 2,2,Election Day
10,4,Billy Toien,Toien,LB,25,02-345 Badger No. 2,2,Election Day
10,3,Bill Walker,Walker,UL,16,02-345 Badger No. 2,2,Election Day
11,1,Mark Begich,Begich,D,288,02-355 Fairbanks No. 8,2,Election Day
11,2,Mike Dunleavy,Dunleavy,R,303,02-355 Fairbanks No. 8,2,Election Day
11,4,Billy Toien,Toien,LB,23,02-355 Fairbanks No. 8,2,Election Day
11,3,Bill Walker,Walker,UL,8,02-355 Fairbanks No. 8,2,Election Day
12,1,Mark Begich,Begich,D,337,02-365 Fairbanks No. 9,2,Election Day
12,2,Mike Dunleavy,Dunleavy,R,466,02-365 Fairbanks No. 9,2,Election Day
12,4,Billy Toien,Toien,LB,16,02-365 Fairbanks No. 9,2,Election Day
12,3,Bill Walker,Walker,UL,15,02-365 Fairbanks No. 9,2,Election Day
13,1,Mark Begich,Begich,D,56,02-375 Fort Wainwright,2,Election Day
13,2,Mike Dunleavy,Dunleavy,R,107,02-375 Fort Wainwright,2,Election Day
13,4,Billy Toien,Toien,LB,8,02-375 Fort Wainwright,2,Election Day
13,3,Bill Walker,Walker,UL,3,02-375 Fort Wainwright,2,Election Day
14,1,Mark Begich,Begich,D,240,03-130 Badger No. 1,3,Election Day
14,2,Mike Dunleavy,Dunleavy,R,691,03-130 Badger No. 1,3,Election Day
14,4,Billy Toien,Toien,LB,34,03-130 Badger No. 1,3,Election Day
14,3,Bill Walker,Walker,UL,12,03-130 Badger No. 1,3,Election Day
15,1,Mark Begich,Begich,D,167,03-135 Chena Lakes,3,Election Day
15,2,Mike Dunleavy,Dunleavy,R,734,03-135 Chena Lakes,3,Election Day
15,4,Billy Toien,Toien,LB,23,03-135 Chena Lakes,3,Election Day
15,3,Bill Walker,Walker,UL,8,03-135 Chena Lakes,3,Election Day
16,1,Mark Begich,Begich,D,215,03-165 Newby,3,Election Day
16,2,Mike Dunleavy,Dunleavy,R,866,03-165 Newby,3,Election Day
16,4,Billy Toien,Toien,LB,38,03-165 Newby,3,Election Day
16,3,Bill Walker,Walker,UL,9,03-165 Newby,3,Election Day
17,1,Mark Begich,Begich,D,113,03-175 North Pole,3,Election Day
17,2,Mike Dunleavy,Dunleavy,R,356,03-175 North Pole,3,Election Day
17,4,Billy Toien,Toien,LB,18,03-175 North Pole,3,Election Day
17,3,Bill Walker,Walker,UL,5,03-175 North Pole,3,Election Day
18,1,Mark Begich,Begich,D,160,03-183 Plack,3,Election Day
18,2,Mike Dunleavy,Dunleavy,R,763,03-183 Plack,3,Election Day
18,4,Billy Toien,Toien,LB,21,03-183 Plack,3,Election Day
18,3,Bill Walker,Walker,UL,11,03-183 Plack,3,Election Day
19,1,Mark Begich,Begich,D,295,04-230 Ester,4,Election Day
19,2,Mike Dunleavy,Dunleavy,R,139,04-230 Ester,4,Election Day
19,4,Billy Toien,Toien,LB,13,04-230 Ester,4,Election Day
19,3,Bill Walker,Walker,UL,5,04-230 Ester,4,Election Day
20,1,Mark Begich,Begich,D,626,04-240 Farmers Loop,4,Election Day
20,2,Mike Dunleavy,Dunleavy,R,399,04-240 Farmers Loop,4,Election Day
20,4,Billy Toien,Toien,LB,14,04-240 Farmers Loop,4,Election Day
20,3,Bill Walker,Walker,UL,21,04-240 Farmers Loop,4,Election Day
21,1,Mark Begich,Begich,D,307,04-250 Goldstream No. 1,4,Election Day
21,2,Mike Dunleavy,Dunleavy,R,185,04-250 Goldstream No. 1,4,Election Day
21,4,Billy Toien,Toien,LB,11,04-250 Goldstream No. 1,4,Election Day
21,3,Bill Walker,Walker,UL,6,04-250 Goldstream No. 1,4,Election Day
22,1,Mark Begich,Begich,D,506,04-260 Goldstream No. 2,4,Election Day
22,2,Mike Dunleavy,Dunleavy,R,191,04-260 Goldstream No. 2,4,Election Day
22,4,Billy Toien,Toien,LB,12,04-260 Goldstream No. 2,4,Election Day
22,3,Bill Walker,Walker,UL,6,04-260 Goldstream No. 2,4,Election Day
23,1,Mark Begich,Begich,D,467,04-265 Steese East-Gilmore,4,Election Day
23,2,Mike Dunleavy,Dunleavy,R,830,04-265 Steese East-Gilmore,4,Election Day
23,4,Billy Toien,Toien,LB,35,04-265 Steese East-Gilmore,4,Election Day
23,3,Bill Walker,Walker,UL,15,04-265 Steese East-Gilmore,4,Election Day
24,1,Mark Begich,Begich,D,592,04-270 Steese West,4,Election Day
24,2,Mike Dunleavy,Dunleavy,R,847,04-270 Steese West,4,Election Day
24,4,Billy Toien,Toien,LB,43,04-270 Steese West,4,Election Day
24,3,Bill Walker,Walker,UL,17,04-270 Steese West,4,Election Day
25,1,Mark Begich,Begich,D,149,04-280 University Hills,4,Election Day
25,2,Mike Dunleavy,Dunleavy,R,56,04-280 University Hills,4,Election Day
25,4,Billy Toien,Toien,LB,5,04-280 University Hills,4,Election Day
25,3,Bill Walker,Walker,UL,6,04-280 University Hills,4,Election Day
26,1,Mark Begich,Begich,D,55,05-580 Airport,5,Election Day
26,2,Mike Dunleavy,Dunleavy,R,57,05-580 Airport,5,Election Day
26,4,Billy Toien,Toien,LB,5,05-580 Airport,5,Election Day
26,3,Bill Walker,Walker,UL,1,05-580 Airport,5,Election Day
27,1,Mark Begich,Begich,D,997,05-582 Chena,5,Election Day
27,2,Mike Dunleavy,Dunleavy,R,875,05-582 Chena,5,Election Day
27,4,Billy Toien,Toien,LB,44,05-582 Chena,5,Election Day
27,3,Bill Walker,Walker,UL,27,05-582 Chena,5,Election Day
28,1,Mark Begich,Begich,D,352,05-586 Geist,5,Election Day
28,2,Mike Dunleavy,Dunleavy,R,259,05-586 Geist,5,Election Day
28,4,Billy Toien,Toien,LB,14,05-586 Geist,5,Election Day
28,3,Bill Walker,Walker,UL,7,05-586 Geist,5,Election Day
29,1,Mark Begich,Begich,D,30,05-587 Lakeview,5,Election Day
29,2,Mike Dunleavy,Dunleavy,R,77,05-587 Lakeview,5,Election Day
29,4,Billy Toien,Toien,LB,3,05-587 Lakeview,5,Election Day
29,3,Bill Walker,Walker,UL,0,05-587 Lakeview,5,Election Day
30,1,Mark Begich,Begich,D,90,05-588 Pike,5,Election Day
30,2,Mike Dunleavy,Dunleavy,R,122,05-588 Pike,5,Election Day
30,4,Billy Toien,Toien,LB,4,05-588 Pike,5,Election Day
30,3,Bill Walker,Walker,UL,4,05-588 Pike,5,Election Day
31,1,Mark Begich,Begich,D,28,05-590 Richardson,5,Election Day
31,2,Mike Dunleavy,Dunleavy,R,144,05-590 Richardson,5,Election Day
31,4,Billy Toien,Toien,LB,5,05-590 Richardson,5,Election Day
31,3,Bill Walker,Walker,UL,0,05-590 Richardson,5,Election Day
32,1,Mark Begich,Begich,D,222,05-592 Shanly,5,Election Day
32,2,Mike Dunleavy,Dunleavy,R,160,05-592 Shanly,5,Election Day
32,4,Billy Toien,Toien,LB,7,05-592 Shanly,5,Election Day
